#      x          Cp  
     1.00000    0.46248
     0.99168    0.26265
     0.98036    0.20227
     0.96726    0.15034
     0.95271    0.10928
     0.93719    0.07548
     0.92111    0.04433
     0.90473    0.01793
     0.88820   -0.00656
     0.87159   -0.02855
     0.85494   -0.04954
     0.83826   -0.06882
     0.82157   -0.08738
     0.80487   -0.10516
     0.78817   -0.12256
     0.77146   -0.13903
     0.75474   -0.15576
     0.73803   -0.17140
     0.72131   -0.18755
     0.70459   -0.20284
     0.68788   -0.21918
     0.67117   -0.23460
     0.65446   -0.25007
     0.63777   -0.26606
     0.62107   -0.28209
     0.60439   -0.29783
     0.58772   -0.31424
     0.57105   -0.33040
     0.55440   -0.34741
     0.53777   -0.36417
     0.52115   -0.38143
     0.50455   -0.39904
     0.48797   -0.41675
     0.47142   -0.43535
     0.45488   -0.45355
     0.43838   -0.47287
     0.42190   -0.49229
     0.40545   -0.51187
     0.38904   -0.53259
     0.37267   -0.55358
     0.35634   -0.57483
     0.34006   -0.59701
     0.32382   -0.61936
     0.30765   -0.64253
     0.29153   -0.66646
     0.27549   -0.69117
     0.25952   -0.71621
     0.24365   -0.74242
     0.22787   -0.76969
     0.21221   -0.79758
     0.19669   -0.82642
     0.18133   -0.85713
     0.16617   -0.88882
     0.15126   -0.92186
     0.13665   -0.95688
     0.12244   -0.99324
     0.10876   -1.03178
     0.09574   -1.07207
     0.08357   -1.11389
     0.07242   -1.15600
     0.06239   -1.19814
     0.05353   -1.24000
     0.04580   -1.27923
     0.03910   -1.31569
     0.03329   -1.34816
     0.02825   -1.37539
     0.02387   -1.39593
     0.02003   -1.40911
     0.01666   -1.40841
     0.01369   -1.39761
     0.01108   -1.36291
     0.00879   -1.30577
     0.00678   -1.21609
     0.00505   -1.08857
     0.00358   -0.91319
     0.00236   -0.69252
     0.00140   -0.42386
     0.00070   -0.13132
     0.00024    0.16709
     0.00003    0.43802
     0.00003    0.66455
     0.00024    0.84602
     0.00070    0.97639
     0.00140    1.04983
     0.00236    1.07179
     0.00358    1.05312
     0.00505    1.00562
     0.00678    0.94072
     0.00879    0.86550
     0.01108    0.78621
     0.01369    0.70564
     0.01666    0.62696
     0.02003    0.55046
     0.02387    0.47678
     0.02825    0.40722
     0.03329    0.33985
     0.03910    0.27716
     0.04580    0.21728
     0.05353    0.16170
     0.06239    0.11018
     0.07241    0.06351
     0.08357    0.02199
     0.09574   -0.01389
     0.10876   -0.04497
     0.12244   -0.07063
     0.13665   -0.09217
     0.15126   -0.10982
     0.16617   -0.12400
     0.18133   -0.13558
     0.19669   -0.14444
     0.21221   -0.15127
     0.22787   -0.15661
     0.24365   -0.16003
     0.25952   -0.16250
     0.27549   -0.16333
     0.29153   -0.16355
     0.30765   -0.16281
     0.32382   -0.16121
     0.34006   -0.15911
     0.35634   -0.15609
     0.37267   -0.15329
     0.38904   -0.14919
     0.40545   -0.14553
     0.42190   -0.14089
     0.43838   -0.13625
     0.45488   -0.13137
     0.47142   -0.12615
     0.48797   -0.12097
     0.50455   -0.11525
     0.52115   -0.10977
     0.53777   -0.10387
     0.55441   -0.09804
     0.57105   -0.09182
     0.58772   -0.08595
     0.60439   -0.07932
     0.62107   -0.07309
     0.63777   -0.06660
     0.65446   -0.05999
     0.67117   -0.05306
     0.68788   -0.04608
     0.70459   -0.03867
     0.72131   -0.03168
     0.73803   -0.02362
     0.75474   -0.01575
     0.77146   -0.00730
     0.78817    0.00175
     0.80487    0.01077
     0.82157    0.02081
     0.83826    0.03178
     0.85494    0.04329
     0.87159    0.05629
     0.88820    0.07024
     0.90473    0.08641
     0.92111    0.10497
     0.93719    0.12679
     0.95271    0.15232
     0.96726    0.18439
     0.98036    0.22657
     0.99168    0.27869
     1.00000    0.46248
