#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.74222  0.000000  0.000000  0.000000     0.947
   0.00840  0.99168  0.00242  0.86120  0.000000  0.000000  0.000000     0.928
   0.01982  0.98036  0.00398  0.89459  0.000000  0.000000  0.000000     0.922
   0.03305  0.96726  0.00576  0.92253  0.000000  0.000000  0.000000     0.917
   0.04773  0.95271  0.00771  0.94417  0.000000  0.000000  0.000000     0.913
   0.06338  0.93719  0.00974  0.96170  0.000000  0.000000  0.000000     0.910
   0.07959  0.92111  0.01182  0.97765  0.000000  0.000000  0.000000     0.906
   0.09610  0.90473  0.01389  0.99101  0.000000  0.000000  0.000000     0.904
   0.11276  0.88820  0.01594  1.00328  0.000000  0.000000  0.000000     0.901
   0.12949  0.87159  0.01796  1.01420  0.000000  0.000000  0.000000     0.899
   0.14626  0.85494  0.01994  1.02454  0.000000  0.000000  0.000000     0.897
   0.16305  0.83826  0.02190  1.03398  0.000000  0.000000  0.000000     0.895
   0.17985  0.82157  0.02381  1.04301  0.000000  0.000000  0.000000     0.893
   0.19666  0.80487  0.02569  1.05159  0.000000  0.000000  0.000000     0.891
   0.21346  0.78817  0.02753  1.05995  0.000000  0.000000  0.000000     0.890
   0.23027  0.77146  0.02934  1.06782  0.000000  0.000000  0.000000     0.888
   0.24708  0.75474  0.03111  1.07577  0.000000  0.000000  0.000000     0.886
   0.26389  0.73803  0.03284  1.08316  0.000000  0.000000  0.000000     0.885
   0.28069  0.72131  0.03453  1.09076  0.000000  0.000000  0.000000     0.883
   0.29749  0.70459  0.03619  1.09791  0.000000  0.000000  0.000000     0.881
   0.31428  0.68788  0.03781  1.10552  0.000000  0.000000  0.000000     0.880
   0.33106  0.67117  0.03939  1.11267  0.000000  0.000000  0.000000     0.878
   0.34784  0.65446  0.04092  1.11981  0.000000  0.000000  0.000000     0.876
   0.36460  0.63777  0.04242  1.12716  0.000000  0.000000  0.000000     0.875
   0.38136  0.62107  0.04387  1.13449  0.000000  0.000000  0.000000     0.873
   0.39810  0.60439  0.04527  1.14166  0.000000  0.000000  0.000000     0.871
   0.41483  0.58772  0.04663  1.14909  0.000000  0.000000  0.000000     0.870
   0.43154  0.57105  0.04794  1.15638  0.000000  0.000000  0.000000     0.868
   0.44824  0.55440  0.04920  1.16403  0.000000  0.000000  0.000000     0.866
   0.46492  0.53777  0.05041  1.17152  0.000000  0.000000  0.000000     0.864
   0.48158  0.52115  0.05156  1.17920  0.000000  0.000000  0.000000     0.863
   0.49821  0.50455  0.05265  1.18701  0.000000  0.000000  0.000000     0.861
   0.51482  0.48797  0.05368  1.19482  0.000000  0.000000  0.000000     0.859
   0.53141  0.47142  0.05465  1.20299  0.000000  0.000000  0.000000     0.857
   0.54797  0.45488  0.05555  1.21095  0.000000  0.000000  0.000000     0.855
   0.56449  0.43838  0.05639  1.21936  0.000000  0.000000  0.000000     0.853
   0.58099  0.42190  0.05714  1.22778  0.000000  0.000000  0.000000     0.851
   0.59745  0.40545  0.05782  1.23622  0.000000  0.000000  0.000000     0.849
   0.61387  0.38904  0.05842  1.24512  0.000000  0.000000  0.000000     0.846
   0.63025  0.37267  0.05893  1.25409  0.000000  0.000000  0.000000     0.844
   0.64658  0.35634  0.05935  1.26312  0.000000  0.000000  0.000000     0.842
   0.66287  0.34006  0.05967  1.27251  0.000000  0.000000  0.000000     0.839
   0.67911  0.32382  0.05989  1.28193  0.000000  0.000000  0.000000     0.837
   0.69528  0.30765  0.06000  1.29164  0.000000  0.000000  0.000000     0.834
   0.71140  0.29153  0.06000  1.30162  0.000000  0.000000  0.000000     0.832
   0.72744  0.27549  0.05988  1.31188  0.000000  0.000000  0.000000     0.829
   0.74341  0.25952  0.05963  1.32222  0.000000  0.000000  0.000000     0.826
