#      x          Cp  
     1.00000   -0.14441
     0.99168   -0.14517
     0.98036   -0.14621
     0.96726   -0.14745
     0.95271   -0.14887
     0.93719   -0.15045
     0.92111   -0.15215
     0.90473   -0.15395
     0.88820   -0.15587
     0.87159   -0.15789
     0.85494   -0.16001
     0.83826   -0.16225
     0.82157   -0.16460
     0.80487   -0.16709
     0.78817   -0.16971
     0.77146   -0.17249
     0.75474   -0.17543
     0.73803   -0.17854
     0.72131   -0.18184
     0.70459   -0.18535
     0.68788   -0.18908
     0.67117   -0.19305
     0.65446   -0.19728
     0.63777   -0.20179
     0.62107   -0.20660
     0.60439   -0.21174
     0.58772   -0.21724
     0.57105   -0.22311
     0.55440   -0.22940
     0.53777   -0.23612
     0.52115   -0.24331
     0.50455   -0.25098
     0.48797   -0.25916
     0.47142   -0.26785
     0.45488   -0.27708
     0.43838   -0.28691
     0.42190   -0.29737
     0.40545   -0.30851
     0.38904   -0.32035
     0.37267   -0.33292
     0.35634   -0.34624
     0.34006   -0.36032
     0.32382   -0.37515
     0.30765   -0.39073
     0.29153   -0.40704
     0.27549   -0.42406
     0.25952   -0.44175
     0.24365   -0.46006
     0.22787   -0.47896
     0.21221   -0.49836
     0.19669   -0.51819
     0.18133   -0.53837
     0.16617   -0.55875
     0.15126   -0.57918
     0.13665   -0.59943
     0.12244   -0.61917
     0.10876   -0.63800
     0.09574   -0.65528
     0.08357   -0.67033
     0.07242   -0.68222
     0.06239   -0.69018
     0.05353   -0.69342
     0.04580   -0.69121
     0.03910   -0.68301
     0.03329   -0.66814
     0.02825   -0.64592
     0.02387   -0.61535
     0.02003   -0.57532
     0.01666   -0.52420
     0.01369   -0.46042
     0.01108   -0.38171
     0.00879   -0.28597
     0.00678   -0.17134
     0.00505   -0.03646
     0.00358    0.11802
     0.00236    0.28871
     0.00140    0.46799
     0.00070    0.64341
     0.00024    0.80097
     0.00003    0.92645
     0.00003    1.01336
     0.00024    1.06184
     0.00070    1.06978
     0.00140    1.03771
     0.00236    0.97482
     0.00358    0.89099
     0.00505    0.79545
     0.00678    0.69578
     0.00879    0.59692
     0.01108    0.50187
     0.01369    0.41189
     0.01666    0.32796
     0.02003    0.24990
     0.02387    0.17758
     0.02825    0.11080
     0.03329    0.04895
     0.03910   -0.00802
     0.04580   -0.06035
     0.05353   -0.10790
     0.06239   -0.15069
     0.07241   -0.18849
     0.08357   -0.22111
     0.09574   -0.24865
     0.10876   -0.27143
     0.12244   -0.28988
     0.13665   -0.30456
     0.15126   -0.31605
     0.16617   -0.32481
     0.18133   -0.33134
     0.19669   -0.33595
     0.21221   -0.33894
     0.22787   -0.34062
     0.24365   -0.34115
     0.25952   -0.34073
     0.27549   -0.33947
     0.29153   -0.33754
     0.30765   -0.33502
     0.32382   -0.33202
     0.34006   -0.32860
     0.35634   -0.32483
     0.37267   -0.32078
     0.38904   -0.31647
     0.40545   -0.31199
     0.42190   -0.30734
     0.43838   -0.30256
     0.45488   -0.29769
     0.47142   -0.29274
     0.48797   -0.28775
     0.50455   -0.28271
     0.52115   -0.27766
     0.53777   -0.27260
     0.55441   -0.26755
     0.57105   -0.26251
     0.58772   -0.25750
     0.60439   -0.25250
     0.62107   -0.24755
     0.63777   -0.24263
     0.65446   -0.23775
     0.67117   -0.23291
     0.68788   -0.22810
     0.70459   -0.22334
     0.72131   -0.21862
     0.73803   -0.21394
     0.75474   -0.20929
     0.77146   -0.20468
     0.78817   -0.20011
     0.80487   -0.19557
     0.82157   -0.19106
     0.83826   -0.18658
     0.85494   -0.18212
     0.87159   -0.17770
     0.88820   -0.17331
     0.90473   -0.16895
     0.92111   -0.16465
     0.93719   -0.16044
     0.95271   -0.15640
     0.96726   -0.15262
     0.98036   -0.14924
     0.99168   -0.14632
     1.00000   -0.14441
