#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.07038  0.093583  0.010789 -0.000240     8.319
   0.00840  0.99168  0.00242  1.07074  0.092631  0.010755 -0.001228     8.259
   0.01982  0.98036  0.00398  1.07124  0.091255  0.010711 -0.001237     8.169
   0.03305  0.96726  0.00576  1.07182  0.089635  0.010658 -0.001247     8.062
   0.04773  0.95271  0.00771  1.07250  0.087824  0.010599 -0.001259     7.942
   0.06338  0.93719  0.00974  1.07325  0.085889  0.010535 -0.001272     7.813
   0.07959  0.92111  0.01182  1.07405  0.083875  0.010467 -0.001287     7.677
   0.09610  0.90473  0.01389  1.07491  0.081830  0.010396 -0.001303     7.539
   0.11276  0.88820  0.01594  1.07582  0.079770  0.010322 -0.001320     7.399
   0.12949  0.87159  0.01796  1.07678  0.077708  0.010247 -0.001338     7.259
   0.14626  0.85494  0.01994  1.07778  0.075648  0.010169 -0.001357     7.119
   0.16305  0.83826  0.02190  1.07884  0.073597  0.010089 -0.001377     6.979
   0.17985  0.82157  0.02381  1.07995  0.071555  0.010006 -0.001399     6.839
   0.19666  0.80487  0.02569  1.08113  0.069525  0.009921 -0.001422     6.699
   0.21346  0.78817  0.02753  1.08236  0.067506  0.009834 -0.001447     6.560
   0.23027  0.77146  0.02934  1.08367  0.065503  0.009744 -0.001474     6.421
   0.24708  0.75474  0.03111  1.08506  0.063514  0.009652 -0.001502     6.284
   0.26389  0.73803  0.03284  1.08652  0.061543  0.009556 -0.001532     6.147
   0.28069  0.72131  0.03453  1.08808  0.059588  0.009458 -0.001564     6.011
   0.29749  0.70459  0.03619  1.08972  0.057654  0.009357 -0.001597     5.876
   0.31428  0.68788  0.03781  1.09147  0.055735  0.009252 -0.001630     5.742
   0.33106  0.67117  0.03939  1.09333  0.053841  0.009144 -0.001662     5.609
   0.34784  0.65446  0.04092  1.09531  0.051969  0.009032 -0.001689     5.478
   0.36460  0.63777  0.04242  1.09742  0.050119  0.008917 -0.001713     5.348
   0.38136  0.62107  0.04387  1.09967  0.048294  0.008798 -0.001734     5.220
   0.39810  0.60439  0.04527  1.10206  0.046497  0.008675 -0.001749     5.094
